
Steps;Average Reward
-0.0041284127756604505;-2.222556216533997
0.008967678082229202;-2.1707491323340698
0.028680165573958694;-2.190972038714662
0.04183093739576438;-2.2536391521212773
0.06805045959350164;-2.2228312776973519
0.08120123141530733;-2.2352556216533997
0.09437934371907097;-2.207491323340698
0.11411917169275854;-2.242556216533997
0.13377697822057188;-2.1607491323340698
0.15340744426642738;-2.180972038714662
0.17976366887395478;-2.2336391521212773
0.19944881588372632;-2.2228312776973519
0.21921598433937184;-2.222556216533997
0.23242143712509356;-2.1707491323340698
0.24546284701906718;-2.190972038714662
0.2718737525905105;-2.2536391521212773
0.29153155911832396;-2.2228312776973519
0.31775108131606133;-2.2352556216533997
0.33735420687995876;-2.207491323340698
0.35692999196189823;-2.242556216533997
0.37019012571153587;-2.1607491323340698
0.38990261320326547;-2.180972038714662
0.40969712214086895;-2.2336391521212773
0.4359986657844803;-2.2228312776973519
0.44909475664237;-2.222556216533997
0.4687799036521414;-2.1707491323340698
0.495054106813795;-2.190972038714662
0.5278080041994979;-2.2536391521212773
0.5540001859152772;-2.2228312776973519
0.5671509577370828;-2.2352556216533997
0.5933978204167782;-2.207491323340698
0.6065212517566259;-2.242556216533997
0.6262063987663973;-2.1607491323340698
0.6458915457761689;-2.180972038714662
0.6655493523039822;-2.2336391521212773
0.6918782364295517;-2.2228312776973519
0.704892305841567;-2.222556216533997
0.7178790347716248;-2.1707491323340698
0.7441805784152362;-2.190972038714662
0.7442899403430683;-2.2536391521212773
0.7772078806205196;-2.2228312776973519
0.783742255808485;-2.2352556216533997
0.8099891184881804;-2.207491323340698
0.8230305283821542;-2.242556216533997
0.8427156753919258;-2.1607491323340698
0.8625101843295293;-2.180972038714662
0.869017219035537;-2.2336391521212773
0.8887023660453086;-2.2228312776973519
0.9215929658408017;-2.222556216533997
0.9478945094844129;-2.1707491323340698
0.9609359193783868;-2.190972038714662
0.98721012254004;-2.2536391521212773
1.0003062133979297;-2.2228312776973519
1.0133476232919032;-2.2352556216533997
1.020018700889659;-2.207491323340698
1.0396491669355146;-2.242556216533997
1.0790194609550574;-2.1607491323340698
1.092115551812947;-2.180972038714662
1.1118006988227187;-2.2336391521212773
1.1380749019843717;-2.2228312776973519
1.1577873894761015;-2.222556216533997
1.1774998769678309;-2.1707491323340698
1.2103357957994079;-2.190972038714662
1.216870170987374;-2.2536391521212773
1.2430623527031532;-2.2228312776973519
1.2560764221151688;-2.2352556216533997
1.2692271939369746;-2.207491323340698
1.295528737580586;-2.242556216533997
1.3152412250723153;-2.1607491323340698
1.3481044843858505;-2.180972038714662
1.374378687547504;-2.2336391521212773
1.407187265897123;-2.2228312776973519
1.446475538470792;-2.222556216533997
1.4529552326948418;-2.1707491323340698
1.479174754892579;-2.190972038714662
1.4989692638301824;-2.2536391521212773
1.525243466991836;-2.2228312776973519
1.5384489197775575;-2.2352556216533997
1.5581614072692873;-2.207491323340698
1.5778192137971008;-2.242556216533997
1.5777645328331844;-2.1607491323340698
1.6171074863707693;-2.180972038714662
1.6434363704963388;-2.2336391521212773
1.6500527671301786;-2.2228312776973519
1.6697925951038664;-2.222556216533997
1.7026558544174013;-2.1707491323340698
1.7222863204632568;-2.190972038714662
1.7352730493933146;-2.2536391521212773
1.748314459287288;-2.2228312776973519
1.7549308559211276;-2.2352556216533997
1.7812323995647397;-2.207491323340698
1.8140683183963167;-2.242556216533997
1.833753465406088;-2.1607491323340698
1.8927542254714864;-2.180972038714662
1.925562803821106;-2.2336391521212773
1.9452206103489185;-2.2228312776973519
1.9649330978406483;-2.222556216533997
1.984672925814336;-2.1707491323340698
2.0108651075301154;-2.190972038714662
2.0306049355038027;-2.2536391521212773
2.056906479147414;-2.2228312776973519
2.0765916261571853;-2.2352556216533997
2.0962220922030412;-2.207491323340698
2.1290580110346182;-2.242556216533997
2.1422634638203397;-2.1607491323340698
2.1947571891797306;-2.180972038714662
2.2144149957075436;-2.2336391521212773
2.247196233575205;-2.2228312776973519
2.266936061548892;-2.222556216533997
2.286566527594748;-2.1707491323340698
2.3062516746045194;-2.190972038714662
2.3390602529541384;-2.2536391521212773
2.3784578874556392;-2.2228312776973519
2.398197715429327;-2.2352556216533997
2.4245265995548966;-2.207491323340698
2.450746121752634;-2.242556216533997
2.4704039282804473;-2.1607491323340698
2.490171096736093;-2.180972038714662
2.50329452807594;-2.2336391521212773
2.522952334603754;-2.2228312776973519
2.5294046883458456;-2.222556216533997
2.542555460167651;-2.1707491323340698
2.5885421508210347;-2.190972038714662
2.6016655821608823;-2.2536391521212773
2.6212960482067373;-2.2228312776973519
2.6606116612623643;-2.2352556216533997
